Station,Date,Monthly Total Precipitation,Monthly Minimum Temperature,Monthly Average Temperature,Monthly Maximum Temperature
BEDFORD HANSCOM FIELD,1/31/2021,2.37,21.3,29.4,37.5
,2/28/2021,2.29,19.3,27.5,35.6
,3/31/2021,0.24,27.5,39.9,52.2
,4/30/2021,4.48,37.5,48.8,60.1
,5/31/2021,5.53,47.3,58.9,70.5
,       6/30/2021,3.39,59.3,71.1,82.9
,7/31/2021,11.14,61.4,70.3,79.2
,8/31/2021,6.83,65,74.2,83.3
,9/30/2021,6.88,55.9,65.8,75.7
,10/31/2021,6.07,46.9,57,67
,11/30/2021,2.38,30.5,41.6,52.6
,12/31/2021,2.9,28.8,36.9,45
,1/31/2022,2.16,13.7,24.6,35.5
,2/28/2022,3.93,18.9,30.4,41.8
,3/31/2022,2.42,28.8,40,51.2
,,,,,
BEVERLY MUNICIPAL AIRPORT,1/31/2021,0.48,23.3,30.4,37.5
,2/28/2021,3.61,23.1,29.8,36.5
,3/31/2021,2.13,29.4,39.9,50.4
,4/30/2021,3.36,38.4,47.9,57.4
,5/31/2021,1.86,,,
,       6/30/2021,2.88,61.8,72.1,82.3
,7/31/2021,7.9,61.7,69.6,77.5
,8/31/2021,6.11,66.1,74.3,82.4
,9/30/2021,7.87,57.8,66.5,75.1
,10/31/2021,8.89,49.2,57.4,65.6
,11/30/2021,2.16,31.6,41.8,52
,12/31/2021,3.31,28.9,36.8,44.6
,1/31/2022,,,,
,2/28/2022,,,,
,3/31/2022,2.2,29.1,38.9,48.6
,,,,,
BLUE HILL LCD,1/31/2021,2.32,22.5,29,35.4
,2/28/2021,,23.1,29.2,35.2
,3/31/2021,2.17,29.1,39.7,50.2
,4/30/2021,4.89,37.8,47.5,57.2
,5/31/2021,5.6,48,58.1,68.1
,       6/30/2021,2.72,60.4,70.7,80.9
,7/31/2021,11.59,61.3,68.8,76.3
,8/31/2021,5.37,65.4,73.5,81.6
,9/30/2021,6.64,57.4,65.3,73.2
,10/31/2021,7.87,49.4,56.7,64.1
,11/30/2021,1.92,33.5,42.2,50.8
,12/31/2021,2.63,29.7,36.3,43
,1/31/2022,4.59,15.3,24.3,33.2
,2/28/2022,,21.3,31.1,40.9
,3/31/2022,,,,
,,,,,
BOSTON,1/31/2021,2.02,25.1,31,36.9
,2/28/2021,3.05,25.4,30.8,36.1
,3/31/2021,1.89,32.7,42,51.4
,4/30/2021,4.44,42.7,50.8,58.8
,5/31/2021,4.92,52.9,61.4,69.9
,       6/30/2021,2.57,65.1,74.4,83.6
,7/31/2021,10.07,65.7,72.4,79
,8/31/2021,7,70,76.9,83.7
,9/30/2021,7.47,62.6,69.7,76.7
,10/31/2021,5.11,53.7,59.9,66.1
,11/30/2021,1.34,37.4,44.7,52.1
,12/31/2021,2.45,32.7,39.2,45.7
,1/31/2022,2.33,19.3,27.4,35.5
,2/28/2022,4.61,24.1,33.1,42.1
,3/31/2022,2.93,33.1,41.4,49.7
,,,,,
CHATHAM MUNICIPAL AIRPORT,1/31/2021,2.48,29,34.3,39.6
,2/28/2021,4.08,28.7,34.1,39.5
,3/31/2021,2.8,31.5,39.2,46.9
,4/30/2021,2.57,39.8,46.6,53.4
,5/31/2021,4.46,49.1,56.2,63.2
,       6/30/2021,1.2,60.7,67.2,73.6
,7/31/2021,1.79,64.2,70.3,76.3
,8/31/2021,2.03,67.4,73.8,80.1
,9/30/2021,10.76,61.1,67.5,73.9
,10/31/2021,7.13,53.8,59.6,65.3
,11/30/2021,1.97,37.8,45.1,52.3
,12/31/2021,2.05,35.4,41.5,47.6
,1/31/2022,4.68,23.8,31.2,38.6
,2/28/2022,4.38,27.8,35.1,42.3
,3/31/2022,3.43,33.9,41.5,49
,,,,,
FITCHBURG MUNICIPAL AIRPORT,1/31/2021,2.48,21.5,28.9,36.2
,2/28/2021,2.22,17.6,26.1,34.5
,3/31/2021,1.72,26.7,39.1,51.4
,4/30/2021,4.22,37.3,48.6,59.9
,5/31/2021,4.22,48.1,59.6,71.1
,       6/30/2021,0.59,60.5,71.9,83.3
,7/31/2021,5.91,61,69.8,78.5
,8/31/2021,4.04,64.8,74.1,83.3
,9/30/2021,5.82,55.5,65.2,74.8
,10/31/2021,3.39,47.5,56.3,65.1
,11/30/2021,2.05,29.6,40.5,51.4
,12/31/2021,3.12,27.1,35.2,43.2
,1/31/2022,0.2,11.9,22.3,32.7
,2/28/2022,4.91,19.6,30.1,40.6
,3/31/2022,2.71,27.3,38.3,49.3
,,,,,
HYANNIS BARNSTABLE MUNICIPAL AIRPORT,1/31/2021,2.32,27.3,33.9,40.4
,2/28/2021,3.13,26.7,33.2,39.7
,3/31/2021,2.5,30.6,39.8,49
,4/30/2021,2.81,39.3,47.6,55.9
,5/31/2021,4.27,47.9,56.8,65.6
,       6/30/2021,1.5,60.4,68.6,76.7
,7/31/2021,0.15,63,70.5,77.9
,8/31/2021,0.04,68.2,75.5,82.7
,9/30/2021,11.3,60.2,67.6,74.9
,10/31/2021,7.87,51.9,59,66.1
,11/30/2021,2.01,35.9,44.6,53.2
,12/31/2021,0.39,34.1,41.3,48.5
,1/31/2022,1.57,22.7,31.3,39.8
,2/28/2022,4.43,26.6,35.2,43.8
,3/31/2022,3.32,33.3,42.1,50.8
,,,,,
LAWRENCE MUNICIPAL AIRPORT,1/31/2021,0.2,18.9,26.2,33.5
,2/28/2021,2.22,20.6,27.7,34.8
,3/31/2021,2.09,28.8,39.9,50.9
,4/30/2021,2.47,38.4,48.6,58.7
,5/31/2021,2.97,48.3,58.9,69.5
,       6/30/2021,3.22,61.4,71.9,82.4
,7/31/2021,10.53,62,70,78
,8/31/2021,3.9,66.1,74.2,82.3
,9/30/2021,5.87,57.7,66.4,75.1
,10/31/2021,7.04,49.1,57.3,65.5
,11/30/2021,2.87,32.5,42.1,51.6
,12/31/2021,3.06,29.5,36.7,43.8
,1/31/2022,2.36,14.9,24.4,33.8
,2/28/2022,4.03,21,31.3,41.5
,3/31/2022,2.42,30,40,50
,,,,,
NANTUCKET MEMORIAL AIRPORT,1/31/2021,2.07,28.5,34.1,39.7
,2/28/2021,4.34,28.3,33.6,38.8
,3/31/2021,0,,,
,4/30/2021,2.23,41.4,48.1,54.7
,5/31/2021,3.87,48.2,55.6,63
,       6/30/2021,1.05,60.6,67,73.4
,7/31/2021,0.97,65.6,71.6,77.6
,8/31/2021,,68.1,74.5,80.9
,9/30/2021,2.11,64,70,75.9
,10/31/2021,5.34,56.7,62.2,67.7
,11/30/2021,1.34,41,48.3,55.5
,12/31/2021,1.32,38.2,44.5,50.7
,1/31/2022,3.9,26.4,34.7,43
,2/28/2022,3.61,31,37.8,44.5
,3/31/2022,3.05,34.9,42.3,49.6
,,,,,
NEW BEDFORD MUNICIPAL AIRPORT,1/31/2021,1.96,24.2,32.2,40.1
,2/28/2021,3.44,25.4,33,40.5
,3/31/2021,2.55,29.3,40.5,51.7
,4/30/2021,3.09,37.4,48.1,58.7
,5/31/2021,2.27,46.5,57.2,67.8
,       6/30/2021,1.44,58.5,69.2,79.9
,7/31/2021,4.63,62.7,71.6,80.5
,8/31/2021,4.23,64.8,73.9,82.9
